SquareFeet,NumBedrooms,NumBathrooms,Garage,Age,Location_Rural,Location_Suburban,Location_Urban
3968.665347489445,1,3,1,30,0.0,1.0,0.0
1565.9175153851693,5,3,0,79,1.0,0.0,0.0
2212.80482064461,2,2,1,33,0.0,1.0,0.0
1426.9468288481294,5,2,0,1,0.0,1.0,0.0
1086.4309464108092,4,1,0,50,0.0,0.0,1.0
4946.0628292943975,4,3,1,40,0.0,1.0,0.0
1679.5083740755842,3,1,1,16,1.0,0.0,0.0
1133.908717778876,2,3,1,61,0.0,0.0,1.0
4313.245687571181,5,1,1,47,0.0,0.0,1.0
4578.145612344665,2,2,1,16,0.0,0.0,1.0
3794.986428405,4,3,0,74,1.0,0.0,0.0
683.4881369964376,2,3,1,33,0.0,0.0,1.0
1588.692561419883,2,2,0,81,0.0,1.0,0.0
3303.293198825218,3,2,0,53,1.0,0.0,0.0
4770.812271404396,2,1,0,82,0.0,0.0,1.0
2568.266382798169,4,1,0,57,0.0,1.0,0.0
2532.375479834771,1,3,1,94,1.0,0.0,0.0
3269.3033961915794,5,3,0,52,0.0,1.0,0.0
2797.566839278266,3,1,1,95,0.0,1.0,0.0
1267.3867522719888,2,3,0,29,1.0,0.0,0.0
2969.787900170632,1,1,1,72,0.0,1.0,0.0
4351.66335316084,1,3,0,62,0.0,0.0,1.0
1453.091674466762,4,2,1,82,0.0,1.0,0.0
1997.682624912524,2,1,1,34,0.0,1.0,0.0
4533.155224122105,3,2,1,56,0.0,1.0,0.0
4062.380324823783,3,1,1,63,0.0,1.0,0.0
2969.3020521496373,1,1,0,21,0.0,1.0,0.0
4729.65967798569,1,1,0,43,1.0,0.0,0.0
2356.798283818807,2,2,0,26,0.0,0.0,1.0
1059.337505684951,1,2,0,24,1.0,0.0,0.0
3184.1018393609465,5,3,0,73,0.0,0.0,1.0
1212.288152265941,5,1,1,66,0.0,0.0,1.0
3363.936122946365,5,2,1,3,1.0,0.0,0.0
4144.048379096472,4,2,1,8,1.0,0.0,0.0
4439.698926781534,3,2,1,68,0.0,1.0,0.0
4781.708195795542,1,3,1,34,0.0,1.0,0.0
3079.1716159156053,3,1,1,31,1.0,0.0,0.0
2417.5455707850388,1,3,0,91,0.0,1.0,0.0
2893.598135965861,3,2,1,38,0.0,1.0,0.0
3860.344885091719,4,2,0,0,0.0,0.0,1.0
705.1332107690096,2,3,0,91,0.0,0.0,1.0
2077.8211904413133,2,2,1,7,1.0,0.0,0.0
3222.9028334324225,1,2,1,11,0.0,1.0,0.0
1361.8459492256666,5,3,1,41,0.0,0.0,1.0
4704.368513753706,5,2,1,91,0.0,0.0,1.0
3590.0537527585825,4,2,0,73,1.0,0.0,0.0
1785.3196985760967,4,3,1,65,1.0,0.0,0.0
1480.5164941474554,2,3,0,7,1.0,0.0,0.0
1126.6041700291782,2,2,0,74,1.0,0.0,0.0
3921.800302793672,4,1,1,22,0.0,0.0,1.0
909.6634172544876,2,1,0,76,1.0,0.0,0.0
2222.5284518136823,1,3,1,82,1.0,0.0,0.0
1072.3210413462991,5,3,1,80,0.0,0.0,1.0
2648.3728526615914,2,1,1,99,1.0,0.0,0.0
2125.472265391153,2,3,1,40,0.0,1.0,0.0
1826.156164484876,1,1,0,31,1.0,0.0,0.0
2893.6983989875616,1,1,0,91,0.0,0.0,1.0
875.7532251440094,1,2,1,54,0.0,0.0,1.0
3192.6086793399145,4,2,0,90,0.0,0.0,1.0
3337.8588274238623,5,2,0,45,1.0,0.0,0.0
4931.785395330506,2,2,0,75,0.0,1.0,0.0
2312.166744475521,3,1,1,74,0.0,0.0,1.0
4611.101051312127,5,2,0,11,1.0,0.0,0.0
636.5921248985192,2,1,1,42,1.0,0.0,0.0
2750.8907098525337,4,1,1,8,1.0,0.0,0.0
4235.912979555929,1,2,0,78,1.0,0.0,0.0
3989.3428156662258,3,2,0,69,0.0,1.0,0.0
3930.283106494771,4,2,1,92,1.0,0.0,0.0
1175.7605036766874,4,3,1,27,1.0,0.0,0.0
794.1477090397336,3,3,0,68,0.0,0.0,1.0
1268.9941432552962,2,2,1,46,0.0,1.0,0.0
2745.030490411739,5,2,0,62,0.0,1.0,0.0
1349.9158404328448,5,2,1,23,0.0,0.0,1.0
3463.9760972289514,4,2,0,37,0.0,1.0,0.0
1087.8547170081188,1,2,1,54,1.0,0.0,0.0
2181.0482871758627,3,3,1,94,0.0,0.0,1.0
2542.309537131102,5,3,1,19,1.0,0.0,0.0
2512.995919997845,3,3,1,69,0.0,0.0,1.0
2292.1260568853577,3,2,0,5,1.0,0.0,0.0
1902.6998424023493,5,2,1,46,0.0,1.0,0.0
3233.9518335564726,3,2,1,26,0.0,0.0,1.0
4646.559812974387,4,3,0,26,0.0,0.0,1.0
2638.268897101827,4,2,1,73,1.0,0.0,0.0
4418.390526517666,4,2,0,85,0.0,0.0,1.0
4331.412309852931,5,3,0,62,0.0,1.0,0.0
677.0459330082934,4,2,1,72,0.0,1.0,0.0
3166.2206562938227,4,3,1,3,1.0,0.0,0.0
3988.555425045752,3,3,0,84,0.0,0.0,1.0
1524.873812464443,5,1,1,95,0.0,0.0,1.0
2290.070484180942,3,2,1,79,0.0,0.0,1.0
