TransactionAmount,TransactionTime,MerchantType,CardType,CustomerAge,TransactionLocation,Fraud
375.16557872851513,60598,Health,Credit,29,Urban,0
950.7635921035062,66399,Food,Credit,34,Urban,0
732.2619478695937,27684,Retail,Credit,26,Rural,0
599.0598257128396,68591,Entertainment,Credit,61,Urban,0
156.8626218019941,77722,Health,Credit,61,Suburban,0
156.83852581586643,2682,Entertainment,Debit,25,Rural,0
59.02552855603126,38046,Food,Debit,44,Rural,0
866.3099696291603,21832,Utilities,Credit,77,Urban,0
601.5138967314656,16997,Food,Debit,59,Suburban,0
708.3645052182494,34640,Health,Debit,29,Rural,0
21.563909801506643,76882,Food,Debit,54,Urban,0
969.9399423098323,40491,Food,Credit,37,Suburban,0
832.6101981596213,63043,Health,Credit,18,Suburban,0
213.12677156759787,72725,Health,Credit,26,Rural,0
182.6431422398935,45520,Entertainment,Debit,64,Urban,0
184.22110534358038,62919,Retail,Credit,41,Suburban,0
304.9380007165782,64442,Utilities,Credit,78,Rural,0
525.2316752006057,21770,Utilities,Credit,51,Rural,0
432.51307362347364,47498,Utilities,Debit,53,Rural,1
291.93791105784385,61477,Food,Credit,21,Rural,0
612.2410418276571,244,Health,Credit,46,Rural,0
140.3543667913898,32788,Health,Credit,40,Suburban,0
292.85250388668294,79453,Health,Debit,52,Rural,0
366.995481450398,57737,Retail,Credit,33,Urban,0
456.6139142328189,46489,Health,Credit,25,Urban,0
785.3907854316205,71303,Health,Debit,44,Suburban,0
200.47410837620137,28390,Food,Credit,56,Rural,0
514.720203975198,10247,Entertainment,Credit,75,Rural,0
592.8221542931805,69051,Utilities,Credit,29,Suburban,0
47.40396230727773,59719,Food,Credit,61,Rural,0
607.9373070495369,34678,Food,Debit,21,Rural,0
171.35359956360423,76286,Food,Debit,64,Urban,0
65.98654139229424,29583,Utilities,Debit,42,Rural,0
948.93665171608,8076,Food,Credit,23,Suburban,0
965.6664010414848,18006,Entertainment,Credit,20,Urban,0
808.5889507683447,15051,Health,Credit,56,Suburban,0
305.3091554041973,4314,Entertainment,Credit,71,Suburban,0
98.5744418923775,28670,Health,Debit,41,Rural,0
684.5487934856448,67551,Health,Credit,38,Rural,0
440.7123412458617,10236,Food,Debit,23,Urban,0
122.91619660993405,35568,Food,Credit,50,Suburban,1
495.6817332011589,60314,Utilities,Credit,25,Suburban,0
35.35413259410318,16352,Retail,Debit,50,Rural,0
909.4110816767032,45650,Entertainment,Credit,65,Suburban,0
259.5212016184169,10346,Utilities,Credit,20,Suburban,0
662.859762069628,25156,Utilities,Credit,77,Suburban,1
312.3993650133215,55904,Entertainment,Credit,19,Suburban,0
520.547953156633,14035,Entertainment,Debit,55,Suburban,0
547.1635690639364,16108,Health,Credit,57,Urban,0
185.6696010700015,2853,Retail,Debit,73,Suburban,0
969.615043136794,84156,Food,Debit,56,Suburban,0
775.3576905377535,4176,Retail,Credit,56,Urban,0
939.5594426226249,25920,Retail,Credit,41,Rural,0
894.9325230772212,54850,Food,Debit,38,Rural,0
598.3020788322741,6829,Retail,Debit,68,Urban,0
921.9523607880938,73927,Utilities,Credit,35,Urban,0
89.40400954986758,84860,Utilities,Credit,52,Rural,0
196.78687955672606,40667,Food,Debit,28,Suburban,0
46.182061621627525,65842,Food,Credit,28,Suburban,0
326.00500043250105,35843,Entertainment,Credit,20,Urban,0
389.2886123997925,50808,Entertainment,Debit,77,Suburban,0
272.077682742122,30543,Retail,Credit,40,Urban,1
828.9087716427774,72780,Retail,Debit,18,Rural,0
357.39657336689567,6611,Food,Credit,40,Suburban,0
281.65357517769337,84612,Retail,Debit,39,Rural,0
543.1533870750902,46902,Health,Debit,76,Suburban,0
141.78330074978788,33043,Utilities,Debit,59,Suburban,0
802.3947837732857,5271,Retail,Debit,47,Suburban,0
75.47609303609106,72867,Retail,Debit,19,Urban,0
986.9000496639168,77089,Entertainment,Credit,75,Rural,1
772.4725245273607,58745,Health,Credit,34,Urban,0
199.51696585263824,62077,Retail,Debit,58,Urban,0
6.516595006478797,59119,Utilities,Debit,67,Rural,0
815.6459670263794,11573,Retail,Debit,37,Rural,0
707.1504865037695,21409,Food,Debit,26,Urban,0
729.2781608729463,85970,Health,Debit,74,Urban,1
771.4990763392598,24464,Retail,Credit,77,Urban,0
74.97060708235627,42840,Health,Debit,28,Rural,0
359.10726281572835,48785,Retail,Credit,34,Urban,0
116.75319046560459,20662,Utilities,Debit,31,Rural,0
863.240322449718,18228,Utilities,Debit,35,Urban,0
623.6748287007304,60721,Health,Credit,35,Rural,0
331.5671268277965,49223,Entertainment,Debit,61,Urban,0
64.49479193573761,7386,Entertainment,Debit,67,Suburban,0
311.67133939394654,6862,Food,Credit,25,Suburban,0
325.8581387047203,40108,Entertainment,Credit,46,Rural,0
729.876572159726,75023,Health,Debit,25,Rural,0
637.9199138838579,80140,Entertainment,Credit,43,Suburban,0
887.3255298337502,82963,Food,Debit,45,Rural,0
472.74271023678733,27201,Retail,Credit,25,Rural,0
120.4746516923634,68578,Entertainment,Debit,77,Suburban,0
713.531542435772,49966,Health,Credit,37,Urban,1
761.0242635682805,54774,Health,Debit,64,Rural,0
561.7159203719267,10386,Food,Credit,25,Rural,0
771.1962127746065,77228,Food,Credit,31,Urban,0
494.30180076802634,15225,Utilities,Debit,30,Urban,0
523.2100965526121,16693,Utilities,Debit,72,Rural,0
428.1134773401911,72197,Utilities,Debit,57,Rural,0
26.393707617351094,43021,Retail,Credit,34,Urban,0
108.78353556631114,18261,Health,Debit,68,Rural,0
32.39775650104752,27378,Utilities,Debit,43,Urban,0
636.7740008525166,11937,Health,Credit,23,Urban,0
315.04162509525037,66330,Food,Credit,34,Rural,0
509.0621204735381,47366,Retail,Debit,21,Rural,1
907.6589074521669,72322,Food,Debit,42,Urban,0
250.04293691972606,40160,Health,Credit,24,Rural,1
410.9725401125941,45313,Utilities,Credit,34,Urban,0
755.7955874045056,27032,Food,Debit,78,Suburban,0
229.56936732613084,17358,Entertainment,Credit,77,Suburban,0
77.9029299189642,61710,Retail,Credit,39,Urban,0
290.4617014608543,86157,Health,Debit,71,Urban,0
162.06006596675041,48821,Utilities,Debit,45,Rural,0
929.7679546902305,28365,Food,Debit,67,Urban,0
808.3122591848526,13189,Retail,Credit,23,Urban,0
633.770352753913,76749,Utilities,Debit,47,Rural,0
871.58912959753,7248,Food,Credit,27,Rural,1
803.8684048222153,4369,Health,Credit,67,Suburban,0
187.3834888271498,63763,Entertainment,Credit,73,Urban,0
892.6664394914878,8050,Entertainment,Credit,56,Urban,0
539.802899673735,28605,Health,Debit,31,Suburban,0
807.6327150088985,49616,Retail,Credit,71,Urban,1
896.1952086235698,54479,Health,Debit,63,Rural,0
318.68547149689203,80934,Food,Credit,59,Urban,0
110.94187260314908,40883,Retail,Credit,39,Rural,0
228.70722737939974,33055,Entertainment,Debit,74,Urban,0
427.68068083763006,68731,Food,Debit,58,Suburban,0
818.1967511565706,7450,Utilities,Debit,43,Rural,0
860.869852673087,2925,Utilities,Debit,27,Rural,0
7.945178400659513,80051,Utilities,Debit,19,Suburban,0
511.2365552749882,50272,Entertainment,Debit,20,Rural,0
417.9935921456302,5310,Health,Credit,65,Suburban,0
222.8857026602595,31817,Retail,Debit,59,Urban,0
120.74550196634912,44528,Entertainment,Credit,72,Suburban,0
338.27755623222436,55779,Food,Credit,28,Urban,0
942.9667942086066,84816,Food,Debit,27,Rural,0
323.87972908873445,82641,Utilities,Credit,29,Rural,0
519.2718311216228,84083,Retail,Credit,78,Suburban,0
703.3159399362827,76310,Utilities,Debit,31,Urban,0
364.2659727769147,15457,Food,Debit,47,Suburban,0
971.8103006382397,42311,Food,Credit,58,Rural,0
962.4848476471691,3980,Health,Debit,77,Rural,0
252.53051352953878,20886,Health,Debit,30,Urban,0
497.7512573864931,77112,Health,Credit,47,Urban,0
301.5774315069529,50877,Utilities,Debit,55,Rural,0
285.55565388309014,36181,Retail,Debit,28,Rural,0
37.85006040717826,33262,Health,Debit,18,Urban,1
609.9547696459169,947,Entertainment,Credit,44,Suburban,0
503.17634420563263,22,Health,Credit,64,Suburban,0
52.42727249873936,1128,Utilities,Debit,56,Urban,0
279.36781777237485,79522,Retail,Debit,60,Urban,0
908.3576200806871,32322,Health,Debit,66,Urban,0
240.32232877630545,48929,Retail,Credit,54,Rural,0
145.74997721913186,81696,Entertainment,Credit,26,Suburban,0
489.96330751728544,9808,Food,Debit,75,Urban,0
985.6648036564901,52882,Retail,Debit,65,Suburban,0
242.81321623998892,21725,Health,Credit,60,Rural,0
672.4634118584727,72534,Utilities,Debit,43,Rural,1
761.8579957133888,39950,Utilities,Debit,42,Urban,0
238.39990644840728,83576,Utilities,Credit,34,Urban,0
728.4881322632477,20557,Utilities,Debit,23,Urban,0
368.415349586534,21825,Retail,Debit,32,Urban,0
632.673524762986,8998,Utilities,Credit,78,Suburban,0
633.8961810501338,36080,Food,Debit,20,Urban,0
536.2389093906837,57797,Entertainment,Credit,48,Suburban,0
91.1994802843539,15802,Retail,Credit,45,Rural,0
835.4671930936487,11167,Retail,Credit,26,Rural,0
321.4592849067641,42407,Utilities,Debit,79,Suburban,1
187.33199188945437,13338,Utilities,Debit,61,Suburban,0
41.73436641320915,76289,Retail,Debit,68,Urban,0
591.3020502450536,71520,Utilities,Debit,35,Urban,0
677.8867974804401,18895,Utilities,Credit,65,Urban,0
17.571241098928297,47910,Utilities,Credit,57,Rural,1
512.5809652409816,65898,Utilities,Credit,49,Suburban,0
227.26927942274003,3454,Utilities,Debit,36,Suburban,0
645.5276176190404,60797,Health,Credit,22,Suburban,0
175.19206257598645,83137,Health,Credit,61,Suburban,0
691.2468003643635,50637,Health,Debit,23,Urban,0
387.34861095423685,5349,Retail,Debit,29,Urban,0
936.7932587479978,39963,Entertainment,Credit,75,Suburban,0
138.38342320184725,75583,Retail,Debit,64,Urban,0
341.72528469920826,7750,Health,Debit,79,Rural,0
114.36004771934849,22463,Retail,Debit,59,Urban,0
924.7689246602843,74935,Entertainment,Credit,34,Rural,0
877.4620140276,58792,Utilities,Credit,56,Rural,0
258.68368608744044,13686,Food,Credit,76,Suburban,0
660.3240619881449,63528,Health,Credit,24,Suburban,1
817.4049780010146,22787,Health,Credit,70,Urban,0
555.6456107878629,14776,Entertainment,Credit,74,Suburban,0
530.1209277776504,57427,Utilities,Credit,28,Rural,0
242.61043860955124,61086,Utilities,Credit,51,Rural,0
94.00966503809332,63308,Food,Debit,70,Urban,0
897.3185421953734,15797,Utilities,Debit,19,Rural,1
900.5176391061672,5302,Entertainment,Credit,31,Suburban,0
633.4683558159946,63172,Utilities,Debit,35,Urban,0
339.69076125765196,38059,Entertainment,Debit,65,Urban,0
349.8603650380482,908,Health,Credit,77,Urban,0
726.2297231913691,60252,Health,Credit,60,Suburban,0
897.2131496926245,80659,Health,Credit,26,Rural,0
887.1993378408522,12877,Retail,Debit,56,Suburban,0
780.0956703117662,14239,Health,Debit,21,Urban,0
642.3896145081335,27313,Entertainment,Credit,65,Rural,0
85.05582503005378,42103,Food,Credit,31,Urban,0
162.46708538051917,48408,Utilities,Debit,28,Suburban,0
898.6556343385522,83251,Health,Credit,47,Urban,1
606.8226305999303,10534,Retail,Credit,57,Suburban,0
10.187854565013017,43060,Retail,Debit,60,Urban,0
102.37007132316607,17189,Entertainment,Debit,44,Urban,0
663.8382673389477,86067,Food,Credit,46,Urban,0
6.056522262372468,10967,Health,Debit,69,Suburban,0
161.64724336608114,81991,Health,Debit,49,Suburban,0
549.1850555772195,65563,Retail,Credit,66,Suburban,0
692.2033024950006,8660,Entertainment,Credit,77,Suburban,0
652.3092982430979,39823,Retail,Credit,47,Suburban,0
225.04504015109922,55842,Retail,Credit,43,Rural,0
712.4670421261883,9616,Food,Credit,47,Urban,1
238.01183840930327,75976,Entertainment,Credit,68,Suburban,0
326.07429846110847,48738,Food,Credit,27,Rural,0
746.7449137129062,13107,Entertainment,Debit,29,Rural,1
649.9832661481674,61404,Health,Credit,50,Urban,1
849.3741870836838,15954,Utilities,Debit,51,Urban,0
657.955279408043,16943,Utilities,Credit,35,Urban,0
568.7402947321361,40725,Entertainment,Credit,56,Suburban,0
94.58109306026438,45434,Utilities,Credit,33,Urban,0
368.3480872563741,85751,Retail,Credit,62,Urban,0
265.93716531404374,10110,Health,Credit,21,Urban,0
244.74565373570448,16462,Health,Credit,27,Rural,0
973.0375441976931,79232,Utilities,Debit,45,Suburban,0
393.7046269420936,54081,Entertainment,Credit,58,Urban,0
892.1545086219362,52799,Retail,Credit,35,Rural,0
631.5074873712656,66567,Entertainment,Credit,26,Suburban,0
795.0164922381068,51224,Utilities,Debit,39,Urban,0
503.1344560120869,56063,Health,Debit,27,Rural,0
577.3269807417328,55240,Health,Credit,57,Suburban,0
493.02517612504505,81352,Entertainment,Credit,40,Urban,0
196.04774481024646,17868,Food,Credit,60,Urban,0
722.7296631462439,75973,Entertainment,Credit,30,Rural,0
281.49159007841496,80989,Food,Credit,41,Urban,0
25.291650465022386,22222,Entertainment,Debit,30,Rural,0
645.8268236112607,79794,Food,Credit,65,Rural,0
177.9335687276419,63924,Food,Debit,62,Rural,0
940.5181257685614,78513,Food,Debit,42,Suburban,0
953.9746484255847,54649,Food,Credit,61,Rural,0
914.949525830228,83749,Retail,Debit,64,Suburban,0
370.78854155518894,10223,Food,Credit,46,Urban,0
16.441159912338563,48166,Food,Debit,33,Suburban,0
928.3902440251377,39369,Health,Credit,57,Rural,0
428.755964168997,86379,Retail,Credit,23,Urban,0
966.6881642246259,69392,Food,Credit,73,Rural,0
963.6563571121636,59526,Utilities,Credit,25,Rural,0
853.1564460118927,12661,Retail,Debit,51,Urban,0
295.1544431775161,15591,Health,Debit,35,Rural,0
385.71263087332335,71718,Entertainment,Debit,60,Suburban,0
851.2855348453401,55235,Health,Credit,49,Urban,0
317.6050831511214,7970,Health,Credit,66,Urban,0
170.32325393940638,47922,Retail,Debit,27,Urban,0
557.2444611958919,30755,Retail,Credit,51,Rural,0
936.2186193866202,19416,Utilities,Credit,40,Rural,1
696.333766878298,13672,Utilities,Debit,76,Urban,0
570.4911089192756,83468,Retail,Credit,36,Suburban,0
98.07931727699777,46996,Retail,Debit,37,Rural,0
615.3922194724705,74095,Retail,Credit,69,Rural,0
990.063796254159,64,Entertainment,Credit,69,Rural,0
140.9439312212875,68835,Health,Debit,51,Suburban,0
518.811322711373,70385,Utilities,Debit,76,Rural,0
