Bedrooms,Bathrooms,SquareFootage,YearBuilt,GarageSpaces,LotSize,NeighborhoodQuality,SalePrice
4,1,4219,1929,3,9.368925292847656,3,833755.0148365471
5,1,802,1959,1,8.112805922801181,3,316678.7001302209
3,3,4452,2007,1,6.905458999061741,2,928798.4664820933
5,2,1486,1997,0,0.5543265229274983,3,342463.242486252
5,1,2363,1931,0,4.925344655619685,1,448750.1884781774
2,3,4940,1966,1,5.92604183691243,3,925026.4701882823
3,2,3572,1966,3,3.3882875882559964,1,616779.9660426883
3,1,3624,1927,2,3.5219922455829846,2,616856.2833852256
3,2,1827,1943,2,9.63101444924657,2,480481.18016337
5,3,2908,1978,1,8.971253219426085,1,723857.0508278328
4,1,4173,1940,0,8.56720055226619,3,779526.0730506135
3,2,3791,1962,0,4.357112116208051,2,697025.9982097228
5,1,4533,1922,3,0.6301362288846881,4,732070.4776168428
2,2,1203,2003,2,1.2621113413292837,2,258306.0060833479
4,3,1074,1974,3,3.4658654980672345,3,357706.88372995466
2,3,3732,1947,2,0.6495576734589313,4,660783.5832775363
4,1,3132,1931,1,0.662922928194382,3,497448.63810256333
5,2,4328,1956,2,9.207731365602905,1,888206.7197970583
1,1,3730,2017,3,7.208505770131014,4,712998.2824325411
4,1,988,1999,3,3.43508190564745,3,284795.1634319687
2,2,1847,1932,3,1.760123487209055,4,390585.05113783083
5,2,4181,1923,1,5.360539320003233,3,770142.4029118667
4,2,3673,1938,2,0.5507885281164624,4,624684.7526409237
1,3,2167,1933,2,9.414930566652368,3,505411.1782350658
1,1,2137,1955,3,4.440743634194998,1,414495.4994405599
3,1,4614,1927,2,4.322182074754661,4,804105.2741401595
3,3,4053,1936,0,4.210639272026931,4,727309.34539174
2,2,1500,1906,0,1.1586191386837652,4,261289.06613393937
4,3,1350,1967,0,6.564061278022352,4,376714.4284464805
4,3,1888,1936,2,7.463534386469357,1,447220.9740087955
3,3,4212,1955,1,6.923191277088757,4,848316.081299832
4,1,1867,1964,1,1.8151371866292458,2,327449.0115008122
4,3,1321,1964,1,5.99898159633813,1,395294.7326143122
1,1,954,1946,1,5.910102599636412,2,268073.4736549386
3,1,2124,1919,0,8.74990248544313,4,446004.2198330627
5,1,3272,1918,0,4.101712754568647,3,612562.3905223735
3,2,4226,1928,3,4.029116464764625,2,737818.1494320682
5,1,3647,1973,2,6.376007057822763,4,732946.5067061293
1,1,4589,1959,2,6.514190208245374,2,819679.2400657685
2,2,2690,1917,1,4.958209659595008,4,549228.9807477229
4,1,1416,1991,0,4.709063942139,4,380168.53404738154
1,3,4486,1934,1,5.194402871059886,4,750979.6928269297
4,3,3375,1942,3,8.679930345281463,3,805819.284953334
2,1,1940,2010,2,4.881085561912145,2,417164.042925363
2,2,4900,1994,2,9.429352023713314,1,1028647.9573988123
1,3,1235,1990,1,5.288035754165097,1,332105.4757798023
2,2,4068,1910,3,9.517406585218469,1,810525.214052071
5,2,3838,1948,2,8.41190306775622,1,797254.8680281789
2,3,3515,2012,3,3.9430975648503765,4,680592.2101725203
4,2,3389,1937,3,8.704593502317852,2,797551.7834919376
4,3,1461,1963,1,1.5456011999105945,2,312152.94401519606
4,2,3489,1968,0,9.287948165758637,3,745051.5525017055
4,3,4348,1907,1,6.500613393287471,2,820137.536803073
5,1,1526,1933,0,1.0167121109619561,2,246050.8622961215
3,3,4365,1947,3,6.620438874682709,2,889086.7908509105
1,3,3363,2015,0,9.755352714375183,3,714780.0333951755
4,3,3001,1955,3,1.1631062188389747,1,534061.9091999944
2,3,2447,1975,2,5.7695332429108195,2,563857.1726043862
4,2,1677,2001,2,7.604046322714038,3,480689.72972346656
2,1,511,1964,2,8.197456573645548,3,276829.51103541214
2,3,4899,1930,1,4.431360920547561,4,889306.321328087
4,2,3864,1903,1,2.4395823120983087,3,672486.6849502781
5,1,3522,2012,3,0.9022516483376464,1,634281.9415952815
2,1,3871,2008,2,6.007398492423635,2,797531.5360947677
2,1,3330,1949,1,4.802655167542302,3,586844.6996309402
4,1,542,1968,2,9.513071753922254,1,313553.6940536313
2,3,1443,1929,1,1.0757466232916428,3,264203.9241782637
2,3,2890,2019,0,7.011255762737054,3,635164.5711043165
4,2,3045,1987,0,0.7371791101405432,3,497763.3157787819
4,2,2911,1958,2,2.128624678750156,3,494131.24794599065
1,2,1504,1966,3,4.809000499266924,3,368710.04934481834
5,1,520,1974,1,4.821288206627248,1,208088.91949377852
5,1,906,1944,1,7.0141551578696175,2,358378.32288192434
2,3,1514,1903,0,9.147023831243688,2,414226.9185439928
5,1,4931,1925,0,6.5708055096917475,2,881778.8787565477
2,1,2338,1926,3,9.558583429589333,2,580730.163251853
1,1,3688,1945,3,8.875348578840978,1,751761.7875130125
4,2,1214,2017,3,6.052748057542507,4,390767.0254561739
4,2,4646,2006,2,8.42102353372886,4,927802.1769804661
4,3,4354,1963,0,6.604487298074523,1,932632.2910614673
5,1,4919,1990,2,1.2462993937754079,1,837320.6319320516
1,1,640,2005,0,7.535364870965345,3,290818.03685391677
5,3,1463,1950,0,1.401630192039789,3,281408.96583495836
