SquareFeet,NumBedrooms,NumBathrooms,Garage,Age,Location,Price
2185.430534813131,4,3,1,43,Suburban,382556.8803570573
4778.214378844623,2,3,0,46,Rural,331699.32785891776
3793.972738151323,5,1,0,12,Suburban,386592.06941293244
3193.9631788866645,3,2,0,52,Urban,370838.16033940495
1202.0838819909643,3,3,0,52,Suburban,416782.6219953148
1201.9753415129119,3,3,1,36,Suburban,140760.48186802078
761.3762547568977,1,3,0,62,Suburban,497805.3497629856
4397.7926559872085,1,1,0,65,Rural,264096.7024422047
3205.0175528444397,3,3,0,39,Urban,373204.82213639177
3686.3266000822045,4,1,0,77,Rural,354987.5733505947
592.630224331111,4,1,1,60,Suburban,304767.5380776628
4864.594334728975,1,1,0,94,Rural,498117.2983726404
4245.991883601898,3,1,1,5,Urban,147792.13233659894
1455.5259980522428,4,1,1,24,Urban,239777.99027556265
1318.2123524319527,1,3,0,45,Urban,107478.75165144439
1325.3202943404522,3,1,0,30,Urban,131825.96239214725
1869.0900933179198,2,1,0,79,Suburban,370833.82860954496
2861.4039423450704,3,1,0,62,Suburban,52179.20544347602
2443.752583889521,3,1,1,90,Suburban,450419.29311634274
1810.5311308911887,5,1,1,93,Suburban,334933.0174708932
3253.3380262507076,5,1,0,67,Suburban,248407.27417234852
1127.7223729341881,2,3,0,38,Rural,199112.4982611165
1814.6509184084816,2,1,1,79,Urban,106823.3218699623
2148.6282948216126,3,1,1,35,Suburban,464703.1639042439
2552.3149289766616,4,3,0,6,Urban,370545.04626586725
4033.291826268561,2,3,0,84,Urban,201376.8495167185
1398.5320197126189,3,2,0,65,Suburban,81921.28074827921
2814.0549728612523,1,3,0,54,Suburban,196557.27419345794
3165.865559879191,5,3,0,71,Urban,133085.43266408757
709.0268572399898,4,1,0,41,Urban,403822.9909540441
3233.9518335564726,3,2,1,26,Urban,373819.40814036183
1267.358556592812,1,1,1,1,Rural,274172.2822953163
792.7321684337578,5,2,1,69,Rural,448628.4963909539
4769.984917639999,1,1,1,3,Urban,131306.3096625878
4845.344148835517,3,3,0,20,Rural,253384.51344507255
4137.7880665240755,2,3,0,0,Urban,369779.1367838542
1870.7619612801682,5,2,1,37,Urban,80511.05737340562
939.5245130287274,1,1,0,59,Suburban,217704.81240261992
3579.048619304706,2,1,0,75,Urban,307249.1609819811
2480.686221828206,4,3,0,90,Suburban,215061.59243166065
1049.1720568015048,3,3,1,13,Suburban,266089.5451727379
2728.2960955007156,3,2,1,78,Urban,323653.2572151823
654.7483450184827,5,3,1,87,Rural,215775.77638081324
4591.941809354519,1,2,1,81,Urban,97706.46016511071
1664.5099172000762,4,2,1,16,Urban,112750.02380395957
3481.350279592919,5,2,1,72,Rural,287151.7862993887
1902.6998424023493,5,2,1,46,Suburban,128633.01153435378
2840.3060953001486,1,3,0,81,Rural,450425.15246475354
2960.1962570447586,4,2,1,55,Urban,425383.55830572173
1331.8450498648717,1,3,0,52,Urban,207064.4310527069
4863.130824940514,3,2,0,17,Rural,423944.22739771847
3988.0977051250156,2,3,1,68,Rural,289934.52365349274
4727.745237038851,3,2,0,47,Rural,121572.9178713235
4526.72307692442,3,3,0,8,Suburban,326395.3345435957
3190.549904649883,5,1,1,53,Rural,355753.0027473829
4648.434057604026,3,2,0,34,Urban,87751.21031157137
898.2162592336377,4,2,1,45,Rural,191503.89068991717
1381.9228808861535,3,1,0,0,Urban,52422.79442536352
703.5228000974213,4,1,0,40,Suburban,192392.96151025684
1963.9864884346896,1,2,0,72,Suburban,200950.39981366193
2249.047803602669,5,3,0,31,Rural,333593.8820505882
1721.0706429825316,4,2,1,83,Urban,139569.47584212426
4229.318791183682,3,3,1,76,Suburban,63540.94402750669
2105.3899701211517,5,1,1,39,Rural,192035.54007197663
1764.2052935932134,5,3,0,10,Suburban,421528.79581651575
2942.132374212118,4,2,0,61,Rural,229615.34250102172
1134.1590123864319,4,1,0,45,Urban,236792.1964253089
4109.886413393178,2,1,0,47,Rural,261062.40328097105
835.4778965589687,2,2,1,42,Urban,388304.9738644939
4940.991214702328,5,2,0,50,Suburban,266011.2015703573
3975.101461834958,2,1,1,60,Urban,91077.23864155209
1394.2205669037758,3,3,0,41,Urban,142879.90981984232
524.8495270562108,1,3,0,25,Suburban,134553.8151466588
4169.576428046754,5,3,1,10,Urban,278538.49328195106
3680.858047314277,1,2,1,24,Urban,63468.25927935134
3780.5322561844428,2,1,1,39,Rural,177627.47383074363
3970.7165600867556,4,3,1,24,Urban,323237.72346942587
833.2009328034067,5,1,0,83,Rural,209592.80398922076
2113.0957784492266,2,3,1,74,Urban,368470.47128846974
1021.4107678630837,3,1,1,73,Suburban,226049.60158555568
4383.965416440171,5,2,0,51,Urban,490665.8877700003
3304.8415707240106,5,2,0,2,Urban,484410.3291762415
1989.0411118369213,4,2,0,38,Urban,409928.3215090661
786.0125762871064,5,3,0,90,Rural,479475.73762318003
1899.4204477204798,4,2,1,34,Suburban,142150.20872794837
1963.3249491203617,2,2,1,39,Suburban,387915.4246083531
3783.227802521288,3,2,0,94,Urban,194746.38499375564
3369.008621098459,3,1,1,84,Urban,376382.44352431566
4492.457341593469,5,1,1,21,Rural,218252.05773493968
2624.967163228772,5,1,0,61,Suburban,180239.2968848835
1038.1741067223577,2,1,1,18,Urban,481457.792849747
3709.6015425034775,4,1,1,13,Urban,144448.44879012715
3923.5327187760386,3,1,0,49,Suburban,391355.8675729532
3025.747389062733,4,1,1,61,Urban,353602.4734420499
3969.3523097955244,2,2,1,86,Urban,186564.93881362892
2722.080183639758,3,2,0,89,Suburban,256254.3578715258
2852.297732218973,3,3,1,42,Rural,114324.39316594813
2423.934582613473,1,2,0,54,Urban,464543.87196682516
614.3860703484283,2,1,0,39,Urban,485653.9106873438
985.51142146987,2,1,0,11,Suburban,379608.36428811186
641.4313355903041,1,3,0,64,Suburban,432239.1547246834
3363.8468506870117,4,2,0,33,Rural,87177.84386059339
1914.60191484347,1,2,0,82,Rural,222785.87808037616
2788.5681102411627,2,3,1,22,Urban,198865.00169699668
4584.049132667418,4,1,0,70,Rural,304228.20452858106
1621.8150311699374,3,1,1,6,Rural,132509.88260338304
2346.723153660334,1,1,0,64,Rural,303521.59428214893
3899.980123443719,4,1,0,17,Urban,344464.41450946475
1529.591744712301,4,3,0,7,Rural,109558.89133576823
846.4095942295685,4,2,1,88,Rural,109274.31898944979
1803.8815381119562,1,1,1,41,Rural,65940.52542941799
1225.4957926430197,3,2,0,92,Suburban,392401.60233086493
4683.639435541579,4,2,1,86,Rural,198953.84157746212
4136.5417080398765,1,1,0,92,Rural,151439.20508516097
3350.3169042969057,2,1,0,0,Suburban,400142.477770353
4421.5726558447295,1,1,1,78,Suburban,114465.06054029279
4116.524346046015,1,2,0,14,Urban,242232.54219378723
1339.5652649871613,1,3,0,27,Urban,385154.00398333726
4516.5154932049,4,1,1,35,Suburban,308224.54291422945
2927.0400886204284,1,2,0,95,Urban,299300.0645715904
4133.480698238282,2,2,0,45,Rural,120858.5348222113
4532.41084965572,4,1,1,76,Urban,131419.72752563347
1931.0156373733873,2,3,1,20,Rural,312151.45725938346
995.2336603745455,5,1,0,48,Rural,60605.08748629704
1525.7082314387376,1,1,0,38,Rural,441103.0950335347
2421.9850488181537,4,3,1,37,Suburban,207711.86028843865
4181.066446651219,4,1,1,8,Urban,237477.2976577972
4373.287624653545,1,1,0,19,Urban,166294.55062967003
531.2845873903582,3,3,1,83,Suburban,444501.9946683965
2798.3628615990456,3,2,1,7,Suburban,339126.83276265726
2378.3495141695057,2,2,1,13,Urban,252458.81106578003
1499.485147118286,1,2,0,61,Suburban,313388.9580468835
1039.3941530015727,1,2,0,83,Suburban,221166.31818892588
2019.2682713163258,5,2,0,34,Rural,259512.11522798546
4743.093667606337,3,1,0,54,Rural,210934.48703642804
1954.4131940933985,3,3,0,44,Rural,234803.6573948759
2834.5577978451474,1,2,1,20,Suburban,191739.44480424366
3663.5853150283,2,3,1,52,Suburban,84938.4848957099
2136.3332107068227,1,2,1,53,Rural,66805.82517342597
4873.019372244323,2,1,0,85,Rural,128347.79192048237
4831.0128272395,3,2,0,42,Urban,163236.98472292867
1633.0203312141387,5,2,1,5,Rural,450712.3372653571
2737.6182765157346,4,3,1,54,Rural,325061.8945353971
1853.9523941754635,3,3,1,43,Urban,481233.7263307959
1781.7822246986043,2,1,1,90,Urban,202841.08708803332
665.9912630953976,1,3,0,67,Urban,230782.10171019664
3243.0395029095357,3,3,0,3,Urban,373888.95241543563
2762.0556045298767,5,3,1,62,Suburban,310055.9349353137
731.6543806249521,2,1,0,91,Urban,287546.0361719443
1753.9090890647515,1,1,0,90,Urban,309003.81870376633
4587.196486849942,4,1,0,57,Suburban,312860.8905244069
1578.028508001376,2,3,0,53,Urban,394583.1908920391
1152.0269244105039,1,3,1,80,Urban,350636.91229175404
2702.5374212490337,4,1,1,37,Urban,480791.4119069307
4935.427043497703,1,3,0,59,Suburban,476583.3581253949
1589.2487218017518,4,3,1,51,Rural,239865.2823552033
3524.6099633264535,4,2,0,28,Urban,66075.17428035969
3927.288268979229,4,1,1,39,Urban,54983.65199842727
1569.3689479657985,1,1,1,70,Urban,105437.032199545
3776.973568753368,4,3,1,7,Urban,83703.829504143
2155.0240972366396,2,3,1,96,Suburban,218014.72203689086
3345.3762376711074,5,2,1,95,Rural,73793.56949780132
3350.883698424026,5,1,1,34,Urban,331211.31626170315
2910.9860783364134,4,1,1,81,Urban,135578.40169787477
906.3039652448374,5,3,0,15,Suburban,281284.3933563144
4258.861230151571,5,1,1,17,Rural,96385.45218518082
1943.5102923728114,4,3,0,58,Rural,422478.07962273137
1339.333296799344,4,2,1,88,Rural,400981.4726869922
683.4881369964376,2,3,1,33,Urban,223919.2494731279
3159.018244347088,3,2,1,3,Urban,459766.9996365128
3549.0396282902707,1,3,0,68,Urban,133565.29078341974
574.6452301753527,4,2,0,77,Suburban,416271.5173458663
2804.418762346764,4,2,0,64,Suburban,295634.9454694871
1519.2309883907208,5,1,0,60,Suburban,198311.03073443324
3403.2775568425245,2,3,0,85,Urban,87962.42071292349
1284.6489305224613,5,1,1,45,Urban,127090.00688348792
3609.2198214610967,4,1,0,20,Urban,438288.17241005943
2240.309058352418,4,3,0,76,Rural,323098.7338362719
4715.284949315305,5,1,0,99,Suburban,156693.0012784248
1118.8442486569697,4,1,1,92,Suburban,273133.79485500406
2034.7985797261633,3,1,1,37,Rural,98526.50142135884
1010.6308455826509,1,3,1,72,Rural,94479.12125086672
4661.121282253533,1,1,0,96,Rural,458494.0932367257
4448.027090214415,1,1,1,85,Urban,256035.33016830916
1660.7373247182002,3,1,0,80,Rural,212705.21927801162
3469.9282071538055,4,3,1,59,Urban,477082.3219899173
4177.499900905472,5,2,1,86,Urban,229550.3053732264
2998.4036521975804,2,2,1,35,Suburban,201308.95762411115
2883.4276026020293,4,2,1,5,Rural,172843.77702102903
1588.3353090520325,3,2,1,38,Urban,304278.26933619287
918.9624551265465,3,1,0,28,Urban,301284.7665240702
4537.470910789971,1,3,0,26,Rural,57287.37919863272
4551.881257234987,4,1,1,68,Urban,344328.04578078794
3348.9565577297058,1,3,0,8,Urban,404738.1963619041
2025.6340597191531,2,1,1,23,Urban,327184.04409367533
2071.443085756974,1,2,1,62,Rural,441449.66222781694
3766.800554916077,2,2,1,18,Urban,174387.36246650416
4536.9961697865965,3,3,1,96,Suburban,136390.73124593412
4491.888909193028,1,1,1,29,Rural,363775.14221898816
4009.4399563593074,1,2,1,57,Suburban,134851.59599014733
3389.142407694295,5,3,1,39,Suburban,90997.19571886836
878.6298424777198,3,1,0,67,Suburban,93476.78084284783
1227.329213425762,5,3,0,31,Urban,395777.07195157313
4543.493848371856,2,1,1,64,Urban,62931.78575064698
3228.930768468155,2,1,0,33,Suburban,180255.51717764
541.3867322748334,3,1,1,84,Suburban,108133.88447483457
956.6219428971444,2,3,0,30,Rural,389709.56605977734
3485.757960986251,3,3,0,58,Suburban,276571.8885078428
522.7771273079841,2,1,1,77,Urban,142471.58652395025
1223.636231378744,4,2,1,25,Suburban,387684.90439307026
2969.3020521496373,1,1,0,21,Suburban,387664.9291121735
3613.5283896171195,4,3,1,33,Rural,285360.19118089275
3433.8256677617023,3,1,0,96,Suburban,174132.40417484436
1509.211892572519,3,3,1,12,Rural,313824.69466799975
3704.8064960639113,4,1,0,95,Rural,470088.5453393863
1567.6208937356002,1,1,0,54,Suburban,73236.37443179847
1964.2986417167047,1,2,0,7,Suburban,170127.43097980655
3859.211323031109,5,2,1,61,Urban,178236.13792670512
3423.348045712466,2,3,0,21,Urban,334315.24861319724
4321.5053472238005,5,1,1,55,Rural,343023.97849787626
3459.258015351545,1,3,1,83,Rural,142841.92772467103
3057.3887150096225,4,1,1,20,Urban,147245.2689481298
921.5364552264161,2,1,1,97,Rural,467695.70803362626
2154.721113767451,4,1,1,48,Urban,390334.4679482649
1693.4106545677646,5,2,0,93,Rural,470421.3643392738
1597.9533952058762,3,3,1,5,Urban,423348.34467321425
4878.547496386005,4,1,1,34,Urban,230953.09111866434
2268.9397610004216,5,1,0,26,Rural,104858.43658032567
4514.20949829701,5,3,0,83,Rural,333297.664815532
3340.123816987683,5,3,1,39,Rural,208395.97801594445
4076.650865937418,3,1,1,13,Suburban,241435.39576631834
2761.8669189733646,3,2,1,73,Suburban,241645.8834248262
3096.067480818616,3,2,0,51,Rural,471433.8297488957
2716.3296221848877,2,1,1,78,Rural,80988.08863666712
1378.5934450912002,3,2,1,39,Rural,136896.6926613823
3751.034518676774,3,3,0,42,Rural,323574.29195672396
1763.475630983851,3,2,0,57,Urban,447691.12964910205
609.4218489415423,4,3,0,2,Suburban,463074.19334149593
3404.625331582255,3,3,1,14,Rural,301411.8169317186
1296.9980573317202,2,3,1,44,Suburban,65552.5484754785
4732.063629588114,5,3,1,94,Suburban,213296.46545276328
4792.678596511643,4,2,0,10,Urban,463474.9814777055
4616.889755992019,1,3,0,38,Rural,274974.8386878916
2165.7141511494997,3,1,1,18,Suburban,376975.9756325679
